date,nav,daily_ret,invest,exposure,dd,n_positions,month
2021-01-13,1.0000793650793651,7.936507936507937e-05,1,0.0,0.0,0,2021-01
2021-01-14,1.0001587364575462,7.936507936507937e-05,0,0.0,0.0,0,2021-01
2021-01-15,1.000238114135043,7.936507936507937e-05,0,0.0,0.0,0,2021-01
2021-01-18,1.0003174981123553,7.936507936507937e-05,0,0.0,0.0,0,2021-01
2021-01-19,0.9665736017769644,-0.03251415394644889,1,1.0,-0.033733186112476436,10,2021-01
2021-01-20,0.9649490094149987,7.936507936507937e-05,0,0.0,-0.03535726283314896,0,2021-01
2021-01-21,1.0038481421159677,0.04162455910940103,1,1.0,0.0,10,2021-01
2021-01-22,1.011868673767804,0.007989785820522646,1,1.0,0.0,10,2021-01
2021-01-25,1.0666627352048963,0.05415135665091873,1,1.0,0.0,10,2021-01
2021-01-26,1.045610241976381,-0.019736785146498247,1,1.0,-0.019736785146498268,10,2021-01
2021-01-27,1.043852806836848,7.936507936507937e-05,0,0.0,-0.021384386662450256,0,2021-01
2021-01-28,1.0439356522977081,7.936507936507937e-05,0,0.0,-0.02130671875662976,0,2021-01
2021-01-29,1.0440185043336048,7.936507936507937e-05,0,0.0,-0.02122904468668981,0,2021-01
2021-02-01,1.04410136294506,7.936507936507937e-05,0,0.0,-0.02115136445214101,0,2021-02
2021-02-02,1.0441842281325953,7.936507936507937e-05,0,0.0,-0.02107367805249437,0,2021-02
2021-02-03,1.0297166716901534,-0.012611257899437438,1,1.0,-0.034637062208464554,10,2021-02
2021-02-04,1.0130056919641368,-0.01622871629201402,1,1.0,-0.05030366344470865,10,2021-02
2021-02-05,1.0113030577242121,7.936507936507937e-05,0,0.0,-0.051899888927918775,0,2021-02
2021-02-08,1.0113833198716506,7.936507936507937e-05,0,0.0,-0.05182464288735743,0,2021-02
2021-02-09,1.0114635883891008,7.936507936507937e-05,0,0.0,-0.051749390874888175,0,2021-02
2021-02-10,1.0243341723265895,0.014002356033149175,1,1.0,-0.03968317396048887,10,2021-02
2021-02-18,1.0137315760909484,-0.01035072003070945,1,1.0,-0.049623144567603424,10,2021-02
2021-02-19,1.0318903603883678,0.02099622173039985,1,1.0,-0.03259922154292664,10,2021-02
2021-02-22,1.0082500437366377,-0.02290971750412769,1,1.0,-0.05476210009065144,10,2021-02
2021-02-23,1.0065554026694754,7.936507936507937e-05,0,0.0,-0.056350831946777265,0,2021-02
2021-02-24,1.0066352880188936,7.936507936507937e-05,0,0.0,-0.05627593915566197,0,2021-02
2021-02-25,1.0067151797084188,7.936507936507937e-05,0,0.0,-0.056201040420674364,0,2021-02
2021-02-26,1.0067950777385544,7.936507936507937e-05,0,0.0,-0.05612613574134273,0,2021-02
2021-03-01,1.0068749821098035,7.936507936507937e-05,0,0.0,-0.05605122511719515,0,2021-03
2021-03-02,0.9939621470723817,-0.011579255552232926,1,1.0,-0.0681570525837761,10,2021-03
2021-03-03,1.018801742950823,0.024990484749951313,1,1.0,-0.0448698456170213,10,2021-03
2021-03-04,0.9903526438644282,-0.027924077754319133,1,1.0,-0.07154097431350649,10,2021-03
2021-03-05,0.988688084292434,7.936507936507937e-05,0,0.0,-0.07310150466396861,0,2021-03
2021-03-08,0.9887665516007113,7.936507936507937e-05,0,0.0,-0.07302794129132287,0,2021-03
2021-03-09,0.9888450251365526,7.936507936507937e-05,0,0.0,-0.07295437208031423,0,2021-03
2021-03-10,0.9889235049004523,7.936507936507937e-05,0,0.0,-0.07288079703047932,0,2021-03
2021-03-11,0.9890019908929047,7.936507936507937e-05,0,0.0,-0.07280721614135477,0,2021-03
2021-03-12,0.9846331516241663,-0.0031614054883309928,1,1.0,-0.07690301805188014,10,2021-03
2021-03-15,0.9817878593143865,-0.002889697858625296,1,1.0,-0.07957048942391907,10,2021-03
2021-03-16,0.9801376952147458,7.936507936507937e-05,0,0.0,-0.0811175239693077,0,2021-03
2021-03-17,1.0029798633976372,0.024596051420295098,1,1.0,-0.05970291236904059,10,2021-03
2021-03-18,1.0270294570726113,0.023978142087025544,1,1.0,-0.037156335197809094,10,2021-03
2021-03-19,1.0089756954478533,-0.017578621041910027,1,1.0,-0.054081799103970644,10,2021-03
2021-03-22,1.0072798347237242,7.936507936507937e-05,0,0.0,-0.0556716743927172,0,2021-03
2021-03-23,0.9764150114795173,-0.02941882404082559,1,1.0,-0.08460755283444234,10,2021-03
2021-03-24,0.9747738779260642,7.936507936507937e-05,0,0.0,-0.08614612121157593,0,2021-03
2021-03-25,0.9748512409322488,7.936507936507937e-05,0,0.0,-0.08607359312595775,0,2021-03
2021-03-26,0.9749286100783546,7.936507936507937e-05,0,0.0,-0.0860010592841423,0,2021-03
2021-03-29,0.979630176341531,0.00609014593166828,1,1.0,-0.08159332466662678,10,2021-03
2021-03-30,0.9734674522130953,-0.006290868000259743,1,1.0,-0.08737089983170646,10,2021-03
2021-03-31,0.9690333122698782,-0.004554995581142962,1,1.0,-0.09152792135019543,10,2021-03
2021-04-01,0.9726623791063285,0.00374503826700201,1,1.0,-0.08812565865114919,10,2021-04
2021-04-02,0.9780111548452178,0.005499108276197306,1,1.0,-0.08311116291378576,10,2021-04
2021-04-06,0.9899719390496183,0.012229701210609855,1,1.0,-0.07189788639287784,10,2021-04
2021-04-07,1.0207683684486824,0.031108386191863912,1,1.0,-0.0430261274173022,10,2021-04
2021-04-08,1.0171455035698724,-0.003549154725783454,1,1.0,-0.04642257575963039,10,2021-04
2021-04-09,1.0095283661305126,-0.007488739234088026,1,1.0,-0.053563668429279794,10,2021-04
2021-04-12,1.0078315764915362,7.936507936507937e-05,0,0.0,-0.05515441457890544,0,2021-04
2021-04-13,1.0079115631245912,7.936507936507937e-05,0,0.0,-0.055079426834030665,0,2021-04
2021-04-14,1.0079915561057915,7.936507936507937e-05,0,0.0,-0.0550044331377477,0,2021-04
2021-04-15,0.9884307412843869,-0.018168625286670247,1,1.0,-0.0733427646232356,10,2021-04
2021-04-16,0.9867694119974392,7.936507936507937e-05,0,0.0,-0.07490026657030475,0,2021-04
2021-04-19,1.0210503333779708,0.036045977340500246,1,1.0,-0.04276178432179293,10,2021-04
2021-04-20,1.0313110918372441,0.010049219048122003,1,1.0,-0.03314228781120908,10,2021-04
2021-04-21,1.0494406895138746,0.020352492603440485,1,1.0,-0.016145727344373292,10,2021-04
2021-04-22,1.0773856195332958,0.026628403394922666,1,1.0,0.0,10,2021-04
2021-04-23,1.0687663887793508,-0.008000135325435975,1,1.0,-0.00800013532543593,10,2021-04
2021-04-26,1.0601415502769027,-0.0080699005816402,1,1.0,-0.016005475610360313,10,2021-04
2021-04-27,1.0583596912834272,7.936507936507937e-05,0,0.0,-0.01765934861661722,0,2021-04
