date,nav,daily_ret,timing,exposure,dd,n_positions,month
2021-01-13,0.9968461143260132,-0.0031538856739868116,1,1.0,-0.003153885673986778,10,2021-01
2021-01-14,1.0144334154723604,0.017642944977759478,1,1.0,0.0,10,2021-01
2021-01-15,1.0142100236357938,-0.00022021340499964659,1,1.0,-0.00022021340499966762,10,2021-01
2021-01-18,1.0251782367895685,0.01081453830879654,1,1.0,0.0,10,2021-01
2021-01-19,1.0343426953228352,0.008939380689513932,1,1.0,0.0,10,2021-01
2021-01-20,1.029489925808365,-0.00469164575378528,1,1.0,-0.004691645753785301,10,2021-01
2021-01-21,1.038187104566287,0.008448046493600016,1,1.0,0.0,10,2021-01
2021-01-22,1.0362578355667957,-0.0018583056859458602,1,1.0,-0.001858305685945856,10,2021-01
2021-01-25,1.0096822275440525,-0.025645748683972385,1,1.0,-0.02745639672931853,10,2021-01
2021-01-26,0.9947715721842528,-0.014767671404961004,1,1.0,-0.04181860108941671,10,2021-01
2021-01-27,0.992123453396273,-0.002662037056572986,1,1.0,-0.044369315480235656,10,2021-01
2021-01-28,0.9798019439036016,-0.012419330931540674,1,1.0,-0.05623760919962137,10,2021-01
2021-01-29,0.9754941160856826,-0.004396631221975599,1,1.0,-0.06038698439314074,10,2021-01
2021-02-01,0.9815234941146906,0.006180845101559351,1,1.0,-0.05457938188826578,10,2021-02
2021-02-02,0.9865045124956349,0.005074782632113161,1,1.0,-0.04978157775543069,10,2021-02
2021-02-03,0.9644620712398263,-0.022343984215587788,1,1.0,-0.07101324318342406,10,2021-02
2021-02-04,0.9521839121559262,-0.012730577437966361,1,1.0,-0.08283978102992272,10,2021-02
2021-02-05,0.9308540094141003,-0.022401032478621553,1,1.0,-0.10338511688317113,10,2021-02
2021-02-08,0.9485241338244099,0.018982702154800395,1,1.0,-0.08636494360940325,10,2021-02
2021-02-09,0.9801216629753853,0.033312309117086374,1,1.0,-0.05592965019071305,10,2021-02
2021-02-10,0.983508795444614,0.0034558285947341345,1,1.0,-0.05266710488040144,10,2021-02
2021-02-18,1.015074218288472,0.032094703158794084,1,1.0,-0.02226273681897694,10,2021-02
2021-02-19,1.0491772340968302,0.03359657372232305,1,1.0,0.0,10,2021-02
2021-02-22,1.063663390285183,0.013807158330902014,1,1.0,0.0,10,2021-02
2021-02-23,1.0555568935448723,-0.007621299007139161,1,1.0,-0.007621299007139247,10,2021-02
2021-02-24,1.0647743915972718,0.008732355507096001,1,1.0,0.0,10,2021-02
2021-02-25,1.048599726121459,-0.0151906973002508,1,1.0,-0.01519069730025075,10,2021-02
2021-02-26,1.0616900085903258,0.012483583719104041,1,1.0,-0.0028967479226459695,10,2021-02
2021-03-01,1.0821417941346478,0.019263424708571276,1,1.0,0.0,10,2021-03
2021-03-02,1.0960182037268535,0.012823097368032223,1,1.0,0.0,10,2021-03
2021-03-03,1.1228699699134228,0.024499379750503706,1,1.0,0.0,10,2021-03
2021-03-04,1.1241519782218252,0.0011417246366480663,1,1.0,0.0,10,2021-03
2021-03-05,1.1322386918622136,0.007193612427013619,1,1.0,0.0,10,2021-03
2021-03-08,1.116694786773278,-0.013728470154442828,1,1.0,-0.013728470154442715,10,2021-03
2021-03-09,1.086621139020017,-0.02693094667358461,1,1.0,-0.040289696130388096,10,2021-03
2021-03-10,1.0705867831642275,-0.014756160431638733,1,1.0,-0.054451335342184846,10,2021-03
2021-03-11,1.0879156428394812,0.016186319453745313,1,1.0,-0.03914638259697123,10,2021-03
2021-03-12,1.083310006380616,-0.004233449982247206,1,1.0,-0.04321410832650814,10,2021-03
2021-03-15,1.0933273706247655,0.009246996875453852,1,1.0,-0.03436671217572503,10,2021-03
2021-03-16,1.1144886924776551,0.0193549731045308,1,1.0,-0.015676905861046586,10,2021-03
2021-03-17,1.1086263367610159,-0.005260130278761786,1,1.0,-0.020854573572611335,10,2021-03
2021-03-18,1.1132606796133382,0.0041802568626161715,1,1.0,-0.01676149418428894,10,2021-03
2021-03-19,1.1176203245052236,0.0039161042617616776,1,1.0,-0.012911029681335888,10,2021-03
2021-03-22,1.129929421707313,0.011013666208637286,1,1.0,-0.002039561244018669,10,2021-03
2021-03-23,1.1269436380707427,-0.0026424514480370537,1,1.0,-0.004676623250493243,10,2021-03
2021-03-24,1.132484977168266,0.004917139518183556,1,1.0,0.0,10,2021-03
2021-03-25,1.1386067911930715,0.005405647004795566,1,1.0,0.0,10,2021-03
2021-03-26,1.138994587615276,0.0003405885378553349,1,1.0,0.0,10,2021-03
2021-03-29,1.1318153023285555,-0.00630317770144272,1,1.0,-0.006303177701442686,10,2021-03
2021-03-30,1.1173084730066012,-0.012817311527869036,1,1.0,-0.019039699437096793,10,2021-03
2021-03-31,1.129033611506636,0.01049409252977668,1,1.0,-0.008745411274952148,10,2021-03
2021-04-01,1.1164292876568451,-0.011163816312758746,1,1.0,-0.019811595422657903,10,2021-04
2021-04-02,1.1145103879293714,-0.0017187830422302768,1,1.0,-0.02149632663063611,10,2021-04
2021-04-06,1.1253726672394986,0.00974623424579092,1,1.0,-0.011959600619611214,10,2021-04
2021-04-07,1.1232762979579645,-0.0018628222832855368,1,1.0,-0.013800144292363254,10,2021-04
2021-04-08,1.1100369078039884,-0.011786405693812176,1,1.0,-0.025423895886912493,10,2021-04
2021-04-09,1.119093895858351,0.008159177402740667,1,1.0,-0.01747215656098189,10,2021-04
2021-04-12,1.1085502871923876,-0.009421558552847186,1,1.0,-0.026729100167745316,10,2021-04
2021-04-13,1.1139759736511234,0.004894398135494005,1,1.0,-0.021965524890275666,10,2021-04
2021-04-14,1.1271209955816295,0.011800094653228767,1,1.0,-0.01042462550985991,10,2021-04
2021-04-15,1.1333527645660821,0.005528926360951103,1,1.0,-0.0049533361356933715,10,2021-04
2021-04-16,1.156607111734212,0.02051818983035975,1,1.0,0.0,10,2021-04
2021-04-19,1.1770352656556637,0.01766213756962113,1,1.0,0.0,10,2021-04
2021-04-20,1.1815275976765378,0.003816650317925397,1,1.0,0.0,10,2021-04
2021-04-21,1.1774399396701307,-0.0034596381958790783,1,1.0,-0.0034596381958791563,10,2021-04
2021-04-22,1.1965757913373185,0.016252083034102718,1,1.0,0.0,10,2021-04
2021-04-23,1.1899882773328512,-0.005505304429655078,1,1.0,-0.005505304429655047,10,2021-04
2021-04-26,1.2021607726607162,0.010229088437028577,1,1.0,0.0,10,2021-04
2021-04-27,1.1926177787800036,-0.007938201027464209,1,1.0,-0.007938201027464287,10,2021-04
2021-04-28,1.2057225936314933,0.01098827728771181,1,1.0,0.0,10,2021-04
2021-04-29,1.1936661999951208,-0.009999309708595638,1,1.0,-0.009999309708595597,10,2021-04
2021-04-30,1.204553358879579,0.009120773365705291,1,1.0,-0.0009697377805559166,10,2021-04
2021-05-06,1.1841899830893177,-0.01690533311799679,1,1.0,-0.017858677158335338,10,2021-05
2021-05-07,1.1678273007375277,-0.013817615910838013,1,1.0,-0.03142952872752381,10,2021-05
2021-05-10,1.1792153516541184,0.009751485437443242,1,1.0,-0.021984527881772704,10,2021-05
2021-05-11,1.1640802580146148,-0.012834885178753043,1,1.0,-0.03453724416945418,10,2021-05
2021-05-12,1.1849058958234913,0.01789020788342837,1,1.0,-0.017264914763938006,10,2021-05
2021-05-13,1.2217530597131654,0.031097122581254386,1,1.0,0.0,10,2021-05
2021-05-14,1.2510989875360565,0.02401952472276262,1,1.0,0.0,10,2021-05
2021-05-17,1.2452771566073049,-0.004653373543381545,1,1.0,-0.004653373543381494,10,2021-05
2021-05-18,1.2446374508697264,-0.0005137055106039115,1,1.0,-0.005164688590353344,10,2021-05
2021-05-19,1.268090108389418,0.018842963067922585,1,1.0,0.0,10,2021-05
2021-05-20,1.2694406519928558,0.0010650217949834118,1,1.0,0.0,10,2021-05
2021-05-21,1.2739407272165157,0.0035449276156357297,1,1.0,0.0,10,2021-05
2021-05-24,1.2880015732353214,0.011037284324465968,1,1.0,0.0,10,2021-05
2021-05-25,1.3012876532463462,0.01031526691202055,1,1.0,0.0,10,2021-05
2021-05-26,1.3048017170560564,0.002700451203808475,1,1.0,0.0,10,2021-05
2021-05-27,1.30960599849905,0.0036820011655357542,1,1.0,0.0,10,2021-05
2021-05-28,1.3015858058950727,-0.006124126350344561,1,1.0,-0.006124126350344574,10,2021-05
2021-05-31,1.3088196052267673,0.005557681482797073,1,1.0,-0.0006004808111630402,10,2021-05
2021-06-01,1.3470581809509288,0.02921607803814641,1,1.0,0.0,10,2021-06
2021-06-02,1.340906680932028,-0.004566617912938465,1,1.0,-0.0045666179129384135,10,2021-06
2021-06-03,1.3360014616025495,-0.003658136244103804,1,1.0,-0.00820804884654202,10,2021-06
2021-06-04,1.3429249725136263,0.005182262976547969,1,1.0,-0.003068322137641238,10,2021-06
2021-06-07,1.372839752545449,0.022275838668655946,1,1.0,0.0,10,2021-06
2021-06-08,1.3793020294382885,0.004707233222856078,1,1.0,0.0,10,2021-06
2021-06-09,1.3806912109108063,0.0010071626394137832,1,1.0,0.0,10,2021-06
2021-06-10,1.4211833430022676,0.029327435252339742,1,1.0,0.0,10,2021-06
2021-06-11,1.4205223992895264,-0.0004650657608643141,1,1.0,-0.0004650657608644054,10,2021-06
2021-06-15,1.4188164975156294,-0.0012008974830316037,1,1.0,-0.0016654047475944478,10,2021-06
2021-06-16,1.4359656706529287,0.01208695639452162,1,1.0,0.0,10,2021-06
2021-06-17,1.4501410433617905,0.00987166545730622,1,1.0,0.0,10,2021-06
2021-06-18,1.472035774684726,0.015098346069964373,1,1.0,0.0,10,2021-06
2021-06-21,1.5185695829549863,0.031611873210232906,1,1.0,0.0,10,2021-06
2021-06-22,1.529994683314527,0.007523593576336818,1,1.0,0.0,10,2021-06
2021-06-23,1.5356198007485349,0.0036765601183801786,1,1.0,0.0,10,2021-06
2021-06-24,1.5414178479787806,0.003775704915643463,1,1.0,0.0,10,2021-06
2021-06-25,1.5321289058431964,-0.006026232372853713,1,1.0,-0.006026232372853679,10,2021-06
2021-06-28,1.5189086508477423,-0.008628683229612744,1,1.0,-0.01460291715225302,10,2021-06
2021-06-29,1.5084870867698337,-0.006861218462408669,1,1.0,-0.021363941809891526,10,2021-06
2021-06-30,1.5327055747116598,0.016054819530265975,1,1.0,-0.0056521165098386075,10,2021-06
2021-07-01,1.5239828928234351,-0.005691035533595911,1,1.0,-0.011310985647537049,10,2021-07
2021-07-02,1.5504730372592896,0.017382179656083463,1,1.0,0.0,10,2021-07
2021-07-05,1.610840701347091,0.03893499766659003,1,1.0,0.0,10,2021-07
2021-07-06,1.6099490522482596,-0.0005535302765107374,1,1.0,-0.0005535302765106884,10,2021-07
2021-07-07,1.6217652805470697,0.007339504490722337,1,1.0,0.0,10,2021-07
2021-07-08,1.6231016728960628,0.0008240356141687058,1,1.0,0.0,10,2021-07
2021-07-09,1.6230215067095326,-4.93907361867503e-05,1,1.0,-4.939073618668272e-05,10,2021-07
