date,nav,daily_ret,regime,exposure,dd,n_positions,month
2021-01-13,1.0055653542723968,0.005565354272396718,bull,1.0,0.0,10,2021-01
2021-01-14,1.0052975983526735,-0.00026627401052128387,bull,1.0,-0.0002662740105211958,10,2021-01
2021-01-15,1.0034515458399418,-0.0018363244035962565,bull,1.0,-0.002102109448653899,10,2021-01
2021-01-18,1.0220703133640017,0.01855472504003657,bull,1.0,0.0,10,2021-01
2021-01-19,1.0180173948686213,-0.003965400855877276,bull,1.0,-0.003965400855877273,10,2021-01
2021-01-20,1.0178086876456613,-0.00020501341530315643,bull,1.0,-0.0041696013108078415,10,2021-01
2021-01-21,1.0407592249856843,0.022548969780470985,bull,1.0,0.0,10,2021-01
2021-01-22,1.0595335186656765,0.018039036531480545,bull,1.0,0.0,10,2021-01
2021-01-25,1.0371668488244794,-0.021109921911073203,bull,1.0,-0.021109921911073214,10,2021-01
2021-01-26,1.0206407671388635,-0.015933869949995426,bull,1.0,-0.03670742911068308,10,2021-01
2021-01-27,1.0183006994952264,-0.0022927436557301675,bull,1.0,-0.038916012041201514,10,2021-01
2021-01-28,0.9941404375485241,-0.023726058480249113,bull,1.0,-0.06171874694394297,10,2021-01
2021-01-29,0.9912927557110274,-0.002864466357005812,bull,1.0,-0.06440642202673125,10,2021-01
2021-02-01,1.023632961708635,0.03262427351686944,bull,1.0,-0.03388336123830493,10,2021-02
2021-02-02,1.0362953601122378,0.012370057312795857,bull,1.0,-0.021932443045977128,10,2021-02
2021-02-03,1.0115964623699945,-0.023833839938806924,bull,1.0,-0.0452435486477592,10,2021-02
2021-02-04,1.000632050218169,-0.010838721327808776,bull,1.0,-0.05559188775989372,10,2021-02
2021-02-05,0.9822338341661653,-0.018386594800748446,bull,1.0,-0.07295633704619231,10,2021-02
2021-02-08,1.0125719023413409,0.03088680833411748,bull,1.0,-0.04432291711117994,10,2021-02
2021-02-09,1.0367057830324526,0.023834238966445445,bull,1.0,-0.02154508114285231,10,2021-02
2021-02-10,1.0568414851168746,0.019422773957644246,bull,1.0,-0.0025407724261447507,10,2021-02
2021-02-18,1.064982612635779,0.0077032626307284024,bull,1.0,0.0,10,2021-02
2021-02-19,1.0763859049387368,0.01070749152865048,bull,1.0,0.0,10,2021-02
2021-02-22,1.0510808579515694,-0.023509270114985114,bull,1.0,-0.023509270114985065,10,2021-02
2021-02-23,1.0435901716438416,-0.00712665086711417,bull,1.0,-0.03046837862184915,10,2021-02
2021-02-24,1.0351385895940004,-0.008098564244360774,bull,1.0,-0.03832019274451943,10,2021-02
2021-02-25,1.019080611870886,-0.01551287710123205,bull,1.0,-0.053238613405210265,10,2021-02
2021-02-26,1.0136462925271499,-0.0053325706332096766,bull,1.0,-0.05828728537202254,10,2021-02
2021-03-01,1.0236144929057034,0.009834002700983103,bull,1.0,-0.04902647999282088,10,2021-03
2021-03-02,1.0082844656781096,-0.014976367894202824,bull,1.0,-0.06326860928609356,10,2021-03
2021-03-03,1.0188072754030844,0.010436350140431561,bull,1.0,-0.05349255250506976,10,2021-03
2021-03-04,1.0037384994092207,-0.014790605012024297,bull,1.0,-0.06749197030190661,10,2021-03
2021-03-05,1.0099235556494854,0.0061620195338779275,bull,1.0,-0.06174583760740909,10,2021-03
2021-03-08,0.9815961581004501,-0.02804905122825648,bull,1.0,-0.08806297667348374,10,2021-03
2021-03-09,0.9503608653206878,-0.03182091995980072,bull,1.0,-0.11708165170113577,10,2021-03
2021-03-10,0.9464066782801982,-0.004160721663507615,bull,1.0,-0.12075522920001114,10,2021-03
2021-03-11,0.9631888135041112,0.017732477600865375,bull,1.0,-0.10516404099612231,10,2021-03
2021-03-12,0.9647651471954142,0.0016365780719236776,bull,1.0,-0.10369957208764784,10,2021-03
2021-03-15,0.9532160628138423,-0.011970876451274317,bull,1.0,-0.114429073773411,10,2021-03
2021-03-16,0.9657348454299393,0.01313320568596198,bull,1.0,-0.10279868864976942,10,2021-03
2021-03-17,0.9666592276777984,0.0009571801744893474,bull,1.0,-0.10193990534201904,10,2021-03
2021-03-18,0.969674543331499,0.0031193160602669525,bull,1.0,-0.09913857206566752,10,2021-03
2021-03-19,0.9711770651710641,0.0015495114828970365,bull,1.0,-0.09774267693858434,10,2021-03
2021-03-22,0.9946069103087012,0.024125204329768793,bull,1.0,-0.07597553466169746,10,2021-03
2021-03-23,0.9738145522085696,-0.02090510118583249,bull,1.0,-0.0952923596077794,10,2021-03
2021-03-24,0.9686066226715792,-0.005347968486586184,bull,1.0,-0.10013070755817073,10,2021-03
2021-03-25,0.9604872866853815,-0.008382490679036625,bull,1.0,-0.10767385351441562,10,2021-03
2021-03-26,0.9711966371320419,0.01114991379388055,bull,1.0,-0.09772449390507564,10,2021-03
2021-03-29,0.9726408900117963,0.001487085956165779,bull,1.0,-0.09638273267136953,10,2021-03
2021-03-30,0.9578239536198333,-0.015233717340202792,bull,1.0,-0.11014818270558038,10,2021-03
2021-03-31,0.9599451977207946,0.002214649250464662,bull,1.0,-0.10817747304538468,10,2021-03
2021-04-01,0.9522316682107055,-0.0080353852786632,bull,1.0,-0.115343610649656,10,2021-04
2021-04-02,0.9415654256044239,-0.01120131052386024,bull,1.0,-0.1252529215736862,10,2021-04
2021-04-06,0.9593167102783772,0.01885294870779495,bull,1.0,-0.10876135977182148,10,2021-04
2021-04-07,0.9563592832596539,-0.0030828473923539598,bull,1.0,-0.111508912489814,10,2021-04
2021-04-08,0.9399549600319855,-0.017152887533810345,bull,1.0,-0.12674910018866914,10,2021-04
2021-04-09,0.9425942006140449,0.0028078372840007913,bull,1.0,-0.12429715375389158,10,2021-04
2021-04-12,0.9288542398807105,-0.014576750763354598,bull,1.0,-0.13706205588638135,10,2021-04
2021-04-13,0.9168249943490834,-0.012950627789750925,bull,1.0,-0.1482376440062497,10,2021-04
2021-04-14,0.9268909203459996,0.010979113853743396,bull,1.0,-0.1388860481234616,10,2021-04
2021-04-15,0.9221563959043095,-0.0051079629088639725,bull,1.0,-0.14328458624995216,10,2021-04
2021-04-16,0.9418195220464888,0.021322984072453994,bull,1.0,-0.12501685712793398,10,2021-04
2021-04-19,0.950993295412052,0.009740479094794608,bull,1.0,-0.11649410211649097,10,2021-04
2021-04-20,0.9455154007219511,-0.005760182239484035,bull,1.0,-0.12158325709795902,10,2021-04
2021-04-21,0.9443095463787713,-0.0012753407742053576,bull,1.0,-0.1227035377869266,10,2021-04
2021-04-22,0.9490335864282605,0.005002639301492751,bull,1.0,-0.11831474002599893,10,2021-04
2021-04-23,0.9483820480252483,-0.0006865282876493016,bull,1.0,-0.11892004189777448,10,2021-04
2021-04-26,0.9400451235246939,-0.008790681474742967,bull,1.0,-0.12666533516323103,10,2021-04
2021-04-27,0.9282709630185904,-0.012525101414234675,bull,1.0,-0.13760394040887824,10,2021-04
2021-04-28,0.9452810761893886,0.018324512829189597,bull,1.0,-0.12180095275105825,10,2021-04
2021-04-29,0.9370756562566983,-0.008680402199277971,bull,1.0,-0.12942407369220185,10,2021-04
2021-04-30,0.9363353312588625,-0.0007900375950359971,bull,1.0,-0.13011186140331832,10,2021-04
2021-05-06,0.9230135007844601,-0.014227627677460131,bull,1.0,-0.14248830596031073,10,2021-05
2021-05-07,0.9143080854824446,-0.009431514592816815,bull,1.0,-0.15057594001615707,10,2021-05
2021-05-10,0.9276871345326742,0.014632976851746774,bull,1.0,-0.13814633740909668,10,2021-05
2021-05-11,0.9201409272863956,-0.008134431281166789,bull,1.0,-0.14515702680186426,10,2021-05
2021-05-12,0.9240227979573875,0.004218778402173663,bull,1.0,-0.14155063372928606,10,2021-05
2021-05-13,0.9185413539103328,-0.005932152387551338,bull,1.0,-0.14664308618700078,10,2021-05
2021-05-14,0.9499812513888545,0.034228069694062876,bull,1.0,-0.11743432626709906,10,2021-05
2021-05-17,0.9549874539422012,0.005269790899586357,bull,1.0,-0.11278338971137405,10,2021-05
2021-05-18,0.9661000794788338,0.01163640997665424,bull,1.0,-0.10245937349595817,10,2021-05
2021-05-19,0.979546059944848,0.013917792526492424,bull,1.0,-0.08996758927217693,10,2021-05
2021-05-20,0.9825400976637394,0.0030565563390250404,bull,1.0,-0.0871860239384486,10,2021-05
2021-05-21,0.9709757725511926,-0.011769825109473107,bull,1.0,-0.09792968479417578,10,2021-05
2021-05-24,0.9857303029793089,0.015195570111239088,bull,1.0,-0.08422221207419808,10,2021-05
2021-05-25,0.9891527387738234,0.0034719798956880164,bull,1.0,-0.08104265000560215,10,2021-05
2021-05-26,0.9872885601186543,-0.0018846216383931699,bull,1.0,-0.08277453691216209,10,2021-05
2021-05-27,0.9840920746546491,-0.0032376405370493364,bull,1.0,-0.08574418325306911,10,2021-05
2021-05-28,0.9916974431966186,0.007728309919209985,bull,1.0,-0.07867853095580836,10,2021-05
