date,nav,daily_ret,regime,exposure,dd,n_positions,breaker,month
2021-01-13,1.0055653542723968,0.005565354272396718,bull,1.0,0.0,10,1.0,2021-01
2021-01-14,1.0052975983526735,-0.00026627401052128387,bull,1.0,-0.0002662740105211958,10,1.0,2021-01
2021-01-15,1.0034515458399418,-0.0018363244035962565,bull,1.0,-0.002102109448653899,10,1.0,2021-01
2021-01-18,1.0220703133640017,0.01855472504003657,bull,1.0,0.0,10,1.0,2021-01
2021-01-19,1.0180173948686213,-0.003965400855877276,bull,1.0,-0.003965400855877273,10,1.0,2021-01
2021-01-20,1.0178086876456613,-0.00020501341530315643,bull,1.0,-0.0041696013108078415,10,1.0,2021-01
2021-01-21,1.0407592249856843,0.022548969780470985,bull,1.0,0.0,10,1.0,2021-01
2021-01-22,1.0595335186656765,0.018039036531480545,bull,1.0,0.0,10,1.0,2021-01
2021-01-25,1.0371668488244794,-0.021109921911073203,bull,1.0,-0.021109921911073214,10,1.0,2021-01
2021-01-26,1.0206407671388635,-0.015933869949995426,bull,1.0,-0.03670742911068308,10,1.0,2021-01
2021-01-27,1.0183006994952264,-0.0022927436557301675,bull,1.0,-0.038916012041201514,10,1.0,2021-01
2021-01-28,0.9941404375485241,-0.023726058480249113,bull,1.0,-0.06171874694394297,10,1.0,2021-01
2021-01-29,0.9912927557110274,-0.002864466357005812,bull,1.0,-0.06440642202673125,10,1.0,2021-01
2021-02-01,1.023632961708635,0.03262427351686944,bull,1.0,-0.03388336123830493,10,1.0,2021-02
2021-02-02,1.0362953601122378,0.012370057312795857,bull,1.0,-0.021932443045977128,10,1.0,2021-02
2021-02-03,1.0115964623699945,-0.023833839938806924,bull,1.0,-0.0452435486477592,10,1.0,2021-02
2021-02-04,1.000632050218169,-0.010838721327808776,bull,1.0,-0.05559188775989372,10,1.0,2021-02
2021-02-05,0.9822338341661653,-0.018386594800748446,bull,1.0,-0.07295633704619231,10,1.0,2021-02
2021-02-08,1.0125719023413409,0.03088680833411748,bull,1.0,-0.04432291711117994,10,1.0,2021-02
2021-02-09,1.0367057830324526,0.023834238966445445,bull,1.0,-0.02154508114285231,10,1.0,2021-02
2021-02-10,1.0568414851168746,0.019422773957644246,bull,1.0,-0.0025407724261447507,10,1.0,2021-02
2021-02-18,1.064982612635779,0.0077032626307284024,bull,1.0,0.0,10,1.0,2021-02
2021-02-19,1.0763859049387368,0.01070749152865048,bull,1.0,0.0,10,1.0,2021-02
2021-02-22,1.0510808579515694,-0.023509270114985114,bull,1.0,-0.023509270114985065,10,1.0,2021-02
2021-02-23,1.0435901716438416,-0.00712665086711417,bull,1.0,-0.03046837862184915,10,1.0,2021-02
2021-02-24,1.0351385895940004,-0.008098564244360774,bull,1.0,-0.03832019274451943,10,1.0,2021-02
2021-02-25,1.019080611870886,-0.01551287710123205,bull,1.0,-0.053238613405210265,10,1.0,2021-02
2021-02-26,1.0136462925271499,-0.0053325706332096766,bull,1.0,-0.05828728537202254,10,1.0,2021-02
2021-03-01,1.0236144929057034,0.009834002700983103,bull,1.0,-0.04902647999282088,10,1.0,2021-03
2021-03-02,1.0082844656781096,-0.014976367894202824,bull,1.0,-0.06326860928609356,10,1.0,2021-03
2021-03-03,1.0188072754030844,0.010436350140431561,bull,1.0,-0.05349255250506976,10,1.0,2021-03
2021-03-04,1.0037384994092207,-0.014790605012024297,bull,1.0,-0.06749197030190661,10,1.0,2021-03
2021-03-05,1.0099235556494854,0.0061620195338779275,bull,1.0,-0.06174583760740909,10,1.0,2021-03
2021-03-08,0.9815961581004501,-0.02804905122825648,bull,1.0,-0.08806297667348374,10,1.0,2021-03
2021-03-09,0.966017463939065,-0.01587077744021782,bull,0.5,-0.10253612621019363,10,0.5,2021-03
2021-03-10,0.9650701325312007,-0.0009806566063530944,bull,0.25,-0.10341623008698884,10,0.5,2021-03
2021-03-11,0.9672762868539511,0.0022860041445526163,bull,0.125,-0.10136663587302897,10,0.5,2021-03
2021-03-12,0.9674471957633054,0.00017669089139999176,bull,0.0625,-0.10120785554287956,10,0.5,2021-03
2021-03-15,0.9671596656499947,-0.0002972049684674018,bull,0.03125,-0.10147498103383171,10,0.5,2021-03
2021-03-16,0.9674336922929383,0.00028333133884315596,bull,0.015625,-0.10122040073722403,10,0.5,2021-03
2021-03-17,0.9675171073376656,8.62230097957377e-05,bull,0.0078125,-0.10114290525503258,10,0.5,2021-03
2021-03-18,0.9676053834900652,9.123988788422731e-05,bull,0.00390625,-0.10106089363448408,10,0.5,2021-03
2021-03-22,0.96768217756812,7.936507936507937e-05,bull,0.0,-0.10098954926096294,0,0.5,2021-03
2021-03-23,0.9677589777409429,7.936507936507937e-05,bull,0.0,-0.10091819922519002,0,0.5,2021-03
2021-03-24,0.9678357840090176,7.936507936507937e-05,bull,0.0,-0.10084684352671579,0,0.5,2021-03
2021-03-25,0.9679125963728279,7.936507936507937e-05,bull,0.0,-0.10077548216509087,0,0.5,2021-03
2021-03-26,0.9679894148328575,7.936507936507937e-05,bull,0.0,-0.10070411513986587,0,0.5,2021-03
2021-03-29,0.9680662393895904,7.936507936507937e-05,bull,0.0,-0.10063274245059117,0,0.5,2021-03
2021-03-30,0.9681430700435102,7.936507936507937e-05,bull,0.0,-0.10056136409681739,0,0.5,2021-03
2021-03-31,0.968219906795101,7.936507936507937e-05,bull,0.0,-0.1004899800780949,0,0.5,2021-03
2021-04-01,0.9682967496448467,7.936507936507937e-05,bull,0.0,-0.10041859039397402,0,0.5,2021-04
2021-04-02,0.9683735985932312,7.936507936507937e-05,bull,0.0,-0.10034719504400526,0,0.5,2021-04
2021-04-06,0.9684504536407387,7.936507936507937e-05,bull,0.0,-0.10027579402773888,0,0.5,2021-04
2021-04-07,0.968527314787853,7.936507936507937e-05,bull,0.0,-0.10020438734472518,0,0.5,2021-04
2021-04-08,0.9686041820350585,7.936507936507937e-05,bull,0.0,-0.10013297499451439,0,0.5,2021-04
2021-04-09,0.9686810553828391,7.936507936507937e-05,bull,0.0,-0.10006155697665675,0,0.5,2021-04
2021-04-12,0.968757934831679,7.936507936507937e-05,bull,0.0,-0.0999901332907025,0,0.5,2021-04
2021-04-13,0.9688348203820626,7.936507936507937e-05,bull,0.0,-0.09991870393620168,0,0.5,2021-04
2021-04-14,0.9689117120344739,7.936507936507937e-05,bull,0.0,-0.09984726891270453,0,0.5,2021-04
2021-04-15,0.9689886097893973,7.936507936507937e-05,bull,0.0,-0.0997758282197611,0,0.5,2021-04
2021-04-16,0.9690655136473171,7.936507936507937e-05,bull,0.0,-0.09970438185692138,0,0.5,2021-04
