date,nav,daily_ret,big_trend,short_trend,invest,exposure,dd,n_positions,month
2021-01-13,1.0000793650793651,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-01
2021-01-14,1.0001587364575462,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-01
2021-01-15,1.000238114135043,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-01
2021-01-18,1.02461371061625,0.02436979368886174,1,1,1,1.0,0.0,10,2021-01
2021-01-19,1.0246950291647117,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-01
2021-01-20,1.0507407485447906,0.025418020619569222,1,1,1,1.0,0.0,10,2021-01
2021-01-21,1.0647134812293477,0.013297983069475832,1,1,1,1.0,0.0,10,2021-01
2021-01-22,1.0750934903011902,0.009749110211188017,1,1,1,1.0,0.0,10,2021-01
2021-01-25,1.1019725690017477,0.025001619806131893,1,1,1,1.0,0.0,10,2021-01
2021-01-26,1.1020600271421448,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-01
2021-01-27,1.102147492223664,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-01
2021-01-28,1.1022349642468565,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-01
2021-01-29,1.102322443212273,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-01
2021-02-01,1.1024099291204643,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-02
2021-02-02,1.0852839541032764,-0.015535033352658111,1,1,1,1.0,-0.015535033352658162,10,2021-02
2021-02-03,1.0480072981315338,-0.03434737593862491,1,1,1,1.0,-0.04934882166050024,10,2021-02
2021-02-04,1.023686501736942,-0.02320670518034821,1,1,1,1.0,-0.07141030328557557,10,2021-02
2021-02-05,1.0237677466973973,7.936507936507937e-05,1,0,0,0.0,-0.0713366056905983,0,2021-02
2021-02-08,1.0096095714563116,-0.013829479671301461,1,1,1,1.0,-0.08417953722368197,10,2021-02
2021-02-09,1.0520938188634748,0.042079877814432405,1,1,1,1.0,-0.04564192405009747,10,2021-02
2021-02-10,1.0700835286532075,0.01709895968133939,1,1,1,1.0,-0.02932339378786958,10,2021-02
2021-02-18,1.0951221412845729,0.023398745949186537,1,1,1,1.0,-0.006610778480293508,10,2021-02
2021-02-19,1.0952090557402303,7.936507936507937e-05,1,0,0,0.0,-0.006531938065887233,0,2021-02
2021-02-22,1.0952959770938606,7.936507936507937e-05,1,0,0,0.0,-0.006453091394305041,0,2021-02
2021-02-23,1.095382905346011,7.936507936507937e-05,1,0,0,0.0,-0.006374238465050639,0,2021-02
2021-02-24,1.095469840497229,7.936507936507937e-05,1,0,0,0.0,-0.006295379277627129,0,2021-02
2021-02-25,1.095556782548062,7.936507936507937e-05,1,0,0,0.0,-0.006216513831538019,0,2021-02
2021-02-26,1.0956437314990581,7.936507936507937e-05,1,0,0,0.0,-0.006137642126286411,0,2021-02
2021-03-01,1.0957306873507644,7.936507936507937e-05,1,0,0,0.0,-0.0060587641613758115,0,2021-03
2021-03-02,1.095817650103729,7.936507936507937e-05,1,0,0,0.0,-0.005979879936309121,0,2021-03
2021-03-03,1.1130888018189982,0.015760972378601835,1,1,1,1.0,0.0,10,2021-03
2021-03-04,1.113177142200095,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-03
2021-03-05,1.113265489592333,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-03
2021-03-08,1.113353843996269,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-03
2021-03-09,1.113442205412459,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-03
2021-03-10,1.11353057384146,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-03
2021-03-11,1.1429606420914609,0.026429510730426365,1,1,1,1.0,0.0,10,2021-03
2021-03-12,1.1528921874200402,0.008689315242216913,1,1,1,1.0,0.0,10,2021-03
2021-03-15,1.1529836867999943,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-03
2021-03-16,1.153075193441804,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-03
2021-03-17,1.1531667073460454,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-03
2021-03-18,1.1729694019610946,0.017172447391083714,1,1,1,1.0,0.0,10,2021-03
2021-03-19,1.173062494770774,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-03
2021-03-22,1.1731555949687718,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-03
2021-03-23,1.1732487025556742,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-03
2021-03-24,1.1733418175320676,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-03
2021-03-25,1.1734349398985384,7.936507936507937e-05,1,0,0,0.0,0.0,0,2021-03
2021-03-26,1.2280468513328315,0.0465402124799652,1,1,1,1.0,0.0,10,2021-03
2021-03-29,1.2101741325857978,-0.014553775963544124,1,1,1,1.0,-0.0145537759635441,10,2021-03
2021-03-30,1.168321079714483,-0.03458432282128419,1,1,1,1.0,-0.04863476629863643,10,2021-03
2021-03-31,1.1766864080543449,0.007160127883600409,1,1,1,1.0,-0.04182286956132318,10,2021-03
2021-04-01,1.1519092092886645,-0.021056756155320662,1,1,1,1.0,-0.06199897175057521,10,2021-04
2021-04-02,1.1437941469498025,-0.007044880163666044,1,1,1,1.0,-0.06860707658798794,10,2021-04
2021-04-06,1.1676923026985055,0.020893755937144078,1,1,1,1.0,-0.04914678016463428,10,2021-04
2021-04-07,1.1677849766907833,7.936507936507937e-05,1,0,0,0.0,-0.04907131562337744,0,2021-04
2021-04-08,1.1479166477659908,-0.017013687726223838,1,1,1,1.0,-0.0652501193092701,10,2021-04
2021-04-09,1.1480077522618453,7.936507936507937e-05,1,0,0,0.0,-0.06517593281080257,0,2021-04
2021-04-12,1.1480988639882153,7.936507936507937e-05,1,0,0,0.0,-0.0651017404245177,0,2021-04
2021-04-13,1.1481899829456748,7.936507936507937e-05,1,0,0,0.0,-0.06502754214994812,0,2021-04
2021-04-14,1.1468454998631599,-0.0011709587285071994,1,1,1,1.0,-0.06612235631038156,10,2021-04
2021-04-15,1.1250163546813639,-0.019034076677634917,1,1,1,1.0,-0.08389785498789885,10,2021-04
2021-04-16,1.14906137907243,0.021373044303766096,1,1,1,1.0,-0.06431796325578013,10,2021-04
2021-04-19,1.1817947102182558,0.02848701709237631,1,1,1,1.0,-0.03766317308201808,10,2021-04
2021-04-20,1.1905915271975962,0.007443608355393506,1,1,1,1.0,-0.03049991463646854,10,2021-04
2021-04-21,1.2133686217184747,0.019130905940924103,1,1,1,1.0,-0.011952499693660842,10,2021-04
2021-04-22,1.2527527736322541,0.032458521844746804,1,1,1,1.0,0.0,10,2021-04
2021-04-23,1.249017213034647,-0.002981881721783009,1,1,1,1.0,-0.002981881721783057,10,2021-04
2021-04-26,1.224645520349175,-0.019512695606698566,1,1,1,1.0,-0.022436392778109267,10,2021-04
2021-04-27,1.2718160325411376,0.03851768647184797,1,1,1,1.0,0.0,10,2021-04
2021-04-28,1.2921314088240028,0.015973517995581887,1,1,1,1.0,0.0,10,2021-04
2021-04-29,1.2789016844600312,-0.0102386833673614,1,1,1,1.0,-0.010238683367361445,10,2021-04
2021-04-30,1.2811004751669424,0.0017192804838939584,1,1,1,1.0,-0.00853700605196179,10,2021-04
2021-05-06,1.2812021498078288,7.936507936507937e-05,1,0,0,0.0,-0.008458318512759464,0,2021-05
2021-05-07,1.281303832518131,7.936507936507937e-05,1,0,0,0.0,-0.008379624728514454,0,2021-05
2021-05-10,1.2814055232984896,7.936507936507937e-05,1,0,0,0.0,-0.00830092469873099,0,2021-05
2021-05-11,1.2815072221495452,7.936507936507937e-05,1,0,0,0.0,-0.008222218422913303,0,2021-05
2021-05-12,1.3156808881925266,0.026666776005881698,1,1,1,1.0,0.0,10,2021-05
2021-05-13,1.3287816024581716,0.009957364573139513,1,1,1,1.0,0.0,10,2021-05
2021-05-14,1.3767318699875752,0.03608589059383313,1,1,1,1.0,0.0,10,2021-05
2021-05-17,1.3662512179546624,-0.007612703868769589,1,1,1,1.0,-0.007612703868769599,10,2021-05
2021-05-18,1.4083573525184063,0.03081873524459039,1,1,1,1.0,0.0,10,2021-05
2021-05-19,1.42157505185679,0.009385188577847793,1,1,1,1.0,0.0,10,2021-05
2021-05-20,1.404060000527428,-0.012320876978309846,1,1,1,1.0,-0.01232087697830991,10,2021-05
2021-05-21,1.4041714338608031,7.936507936507937e-05,1,0,0,0.0,-0.012242489746324088,0,2021-05
2021-05-24,1.4359166852927994,0.02260781744057552,1,1,1,1.0,0.0,10,2021-05
2021-05-25,1.4322158687806377,-0.0025773198055757856,1,1,1,1.0,-0.0025773198055756698,10,2021-05
2021-05-26,1.4288062211068893,-0.002380679999483116,1,1,1,1.0,-0.004951864031345385,10,2021-05
2021-05-27,1.4356769106054672,0.004808692317461494,1,1,1,1.0,-0.00016698370440849697,10,2021-05
2021-05-28,1.4094061552065955,-0.01829851494079724,1,1,1,1.0,-0.0184624430913957,10,2021-05
2021-05-31,1.4478692504377277,0.027290284698305724,1,1,1,1.0,0.0,10,2021-05
